Compound,Concentration_nM,Response_Pct,Well,Replicate
Rapamycin,13.7174,92.84,D7,1
Rapamycin,13.7174,89.05,E7,2
Rapamycin,13.7174,90.42,F7,3
Rapamycin,4.5725,96.87,D8,1
Rapamycin,4.5725,83.31,E8,2
Rapamycin,4.5725,90.69,F8,3
Rapamycin,1.5242,91.14,D9,1
Rapamycin,1.5242,90.03,E9,2
Rapamycin,1.5242,92.43,F9,3
Rapamycin,0.5081,104.66,D10,1
Rapamycin,0.5081,89.0,E10,2
Rapamycin,0.5081,101.17,F10,3
Imatinib,10000.0,25.44,G1,1
Imatinib,10000.0,28.16,H1,2
Imatinib,10000.0,29.16,I1,3
Imatinib,3333.3333,47.04,G2,1
Imatinib,3333.3333,47.44,H2,2
Imatinib,3333.3333,47.7,I2,3
Imatinib,1111.1111,61.62,G3,1
Imatinib,1111.1111,61.12,H3,2
Imatinib,1111.1111,66.96,I3,3
Imatinib,370.3704,75.99,G4,1
Imatinib,370.3704,70.14,H4,2
Imatinib,370.3704,70.91,I4,3
Imatinib,123.4568,79.58,G5,1
Imatinib,123.4568,88.02,H5,2
Imatinib,123.4568,85.9,I5,3
Imatinib,41.1523,93.27,G6,1
Imatinib,41.1523,86.31,H6,2
Imatinib,41.1523,89.96,I6,3
Imatinib,13.7174,94.69,G7,1
Imatinib,13.7174,88.75,H7,2
Imatinib,13.7174,93.62,I7,3
Imatinib,4.5725,87.22,G8,1
Imatinib,4.5725,89.14,H8,2
Imatinib,4.5725,89.02,I8,3
Imatinib,1.5242,84.09,G9,1
Imatinib,1.5242,94.9,H9,2
Imatinib,1.5242,88.76,I9,3
Imatinib,0.5081,91.99,G10,1
Imatinib,0.5081,95.0,H10,2
Imatinib,0.5081,94.78,I10,3
Dasatinib,10000.0,2.1,J1,1
Dasatinib,10000.0,2.0,K1,2
Dasatinib,10000.0,1.95,L1,3
Dasatinib,3333.3333,2.04,J2,1
Dasatinib,3333.3333,1.81,K2,2
Dasatinib,3333.3333,1.84,L2,3
Dasatinib,1111.1111,2.02,J3,1
Dasatinib,1111.1111,2.07,K3,2
Dasatinib,1111.1111,2.29,L3,3
Dasatinib,370.3704,2.86,J4,1
Dasatinib,370.3704,2.97,K4,2
Dasatinib,370.3704,3.33,L4,3
Dasatinib,123.4568,6.55,J5,1
Dasatinib,123.4568,7.07,K5,2
Dasatinib,123.4568,6.28,L5,3
Dasatinib,41.1523,20.3,J6,1
Dasatinib,41.1523,19.23,K6,2
Dasatinib,41.1523,20.11,L6,3
Dasatinib,13.7174,55.55,J7,1
Dasatinib,13.7174,46.12,K7,2
Dasatinib,13.7174,54.06,L7,3
Dasatinib,4.5725,83.23,J8,1
Dasatinib,4.5725,78.46,K8,2
Dasatinib,4.5725,73.58,L8,3
Dasatinib,1.5242,93.75,J9,1
Dasatinib,1.5242,89.83,K9,2
Dasatinib,1.5242,94.8,L9,3
Dasatinib,0.5081,96.32,J10,1
Dasatinib,0.5081,106.96,K10,2
Dasatinib,0.5081,94.57,L10,3
Sorafenib,10000.0,4.19,M1,1
Sorafenib,10000.0,4.57,N1,2
Sorafenib,10000.0,4.58,O1,3
Sorafenib,3333.3333,6.24,M2,1
Sorafenib,3333.3333,6.03,N2,2
Sorafenib,3333.3333,5.84,O2,3
Sorafenib,1111.1111,10.42,M3,1
Sorafenib,1111.1111,8.67,N3,2
Sorafenib,1111.1111,9.03,O3,3
Sorafenib,370.3704,18.73,M4,1
Sorafenib,370.3704,19.48,N4,2
Sorafenib,370.3704,18.1,O4,3
Sorafenib,123.4568,43.95,M5,1
Sorafenib,123.4568,41.43,N5,2
Sorafenib,123.4568,37.75,O5,3
Sorafenib,41.1523,63.78,M6,1
Sorafenib,41.1523,70.17,N6,2
Sorafenib,41.1523,72.69,O6,3
Sorafenib,13.7174,97.66,M7,1
Sorafenib,13.7174,103.16,N7,2
Sorafenib,13.7174,88.17,O7,3
Sorafenib,4.5725,86.24,M8,1
Sorafenib,4.5725,78.83,N8,2
Sorafenib,4.5725,94.39,O8,3
Sorafenib,1.5242,89.57,M9,1
Sorafenib,1.5242,92.21,N9,2
Sorafenib,1.5242,90.91,O9,3
Sorafenib,0.5081,94.75,M10,1
Sorafenib,0.5081,102.83,N10,2
Sorafenib,0.5081,96.74,O10,3
Erlotinib,10000.0,11.43,P1,1
Erlotinib,10000.0,10.72,Q1,2
Erlotinib,10000.0,10.21,R1,3
Erlotinib,3333.3333,18.84,P2,1
Erlotinib,3333.3333,19.43,Q2,2
Erlotinib,3333.3333,21.92,R2,3
Erlotinib,1111.1111,35.15,P3,1
Erlotinib,1111.1111,37.23,Q3,2
Erlotinib,1111.1111,33.62,R3,3
Erlotinib,370.3704,51.27,P4,1
Erlotinib,370.3704,52.13,Q4,2
Erlotinib,370.3704,53.07,R4,3
Erlotinib,123.4568,85.64,P5,1
Erlotinib,123.4568,70.25,Q5,2
Erlotinib,123.4568,78.91,R5,3
Erlotinib,41.1523,80.18,P6,1
Erlotinib,41.1523,91.17,Q6,2
Erlotinib,41.1523,87.9,R6,3
Erlotinib,13.7174,89.68,P7,1
Erlotinib,13.7174,90.41,Q7,2
Erlotinib,13.7174,86.52,R7,3
Erlotinib,4.5725,95.63,P8,1
Erlotinib,4.5725,89.78,Q8,2
Erlotinib,4.5725,84.78,R8,3
Erlotinib,1.5242,85.16,P9,1
Erlotinib,1.5242,94.65,Q9,2
Erlotinib,1.5242,103.86,R9,3
Erlotinib,0.5081,94.87,P10,1
Erlotinib,0.5081,93.04,Q10,2
Erlotinib,0.5081,95.7,R10,3
Compound_F,10000.0,98.73,S1,1
Compound_F,10000.0,91.85,T1,2
Compound_F,10000.0,87.86,U1,3
Compound_F,3333.3333,99.46,S2,1
Compound_F,3333.3333,95.09,T2,2
Compound_F,3333.3333,102.24,U2,3
Compound_F,1111.1111,95.16,S3,1
Compound_F,1111.1111,85.9,T3,2
Compound_F,1111.1111,84.95,U3,3
Compound_F,370.3704,106.35,S4,1
Compound_F,370.3704,106.83,T4,2
Compound_F,370.3704,94.13,U4,3
Compound_F,123.4568,93.87,S5,1
Compound_F,123.4568,106.32,T5,2
Compound_F,123.4568,88.98,U5,3
Compound_F,41.1523,91.25,S6,1
Compound_F,41.1523,101.73,T6,2
Compound_F,41.1523,94.66,U6,3
Compound_F,13.7174,98.0,S7,1
Compound_F,13.7174,96.91,T7,2
Compound_F,13.7174,100.35,U7,3
Compound_F,4.5725,108.26,S8,1
Compound_F,4.5725,99.18,T8,2
Compound_F,4.5725,103.0,U8,3
Compound_F,1.5242,84.74,S9,1
Compound_F,1.5242,98.6,T9,2
Compound_F,1.5242,93.1,U9,3
Compound_F,0.5081,90.76,S10,1
Compound_F,0.5081,93.13,T10,2
Compound_F,0.5081,96.91,U10,3
Compound_G,10000.0,1.07,V1,1
Compound_G,10000.0,0.91,W1,2
Compound_G,10000.0,1.0,X1,3
Compound_G,3333.3333,0.98,V2,1
Compound_G,3333.3333,0.99,W2,2
Compound_G,3333.3333,1.08,X2,3
Compound_G,1111.1111,1.1,V3,1
Compound_G,1111.1111,1.16,W3,2
Compound_G,1111.1111,1.05,X3,3
Compound_G,370.3704,1.25,V4,1
Compound_G,370.3704,1.29,W4,2
Compound_G,370.3704,1.33,X4,3
Compound_G,123.4568,2.62,V5,1
Compound_G,123.4568,2.39,W5,2
Compound_G,123.4568,2.61,X5,3
Compound_G,41.1523,8.88,V6,1
Compound_G,41.1523,10.28,W6,2
Compound_G,41.1523,9.88,X6,3
Compound_G,13.7174,29.33,V7,1
Compound_G,13.7174,30.57,W7,2
Compound_G,13.7174,28.0,X7,3
Compound_G,4.5725,66.56,V8,1
Compound_G,4.5725,70.96,W8,2
Compound_G,4.5725,75.29,X8,3
Compound_G,1.5242,86.81,V9,1
Compound_G,1.5242,87.29,W9,2
Compound_G,1.5242,77.73,X9,3
Compound_G,0.5081,96.35,V10,1
Compound_G,0.5081,90.21,W10,2
Compound_G,0.5081,93.84,X10,3
